original,translated
emang,memang
emg,memang
emng,memang
emank,memang
epsd,episode
fast,cepat
fake,falsu
fans,penggemar
fans,penggemar
faq,pertanyaan umum
fham,paham
fhm,paham
fb,facebook
fix,pasti
ft,foto
fyi,asal tahu saja
fs,flash sale
flasale,flash sale
flashsale,flash sale
fles,flash
for,untuk
g,tidak
ga,tidak
jwab,jawab
jwb,jawab
gaada,tidak ada
gabut,gaji buta
gada,tidak ada
gajebo,tidak jelas
gak,tidak
gan,juragan
galau,bimbang
garing,hambar
gatau,tidak tahu
geje,tidak jelas
gengges,ganggu
gf,pacar
ggl,gagal
gk,tidak
gold,emas
jihat,jihad
god,bagus
gmn,bagaimana
gmana,bagaimana
gmpng,gampang
gokil,gila
gwe,aku
hand,tangan
gapapa,tidak apa apa
gpp,tidak apa apa
gakpapa,tidak apa apa
grammar,tata bahasa
gt,gitu
gue,aku
gw,aku
gw,aku
goblog,goblok
hbd,happy birthday
hp,telepon genggam
hape,telepon genggam
handphone,telepon genggam
haeduh,aduh
hacep,pesta pora
hater,pembenci
haters,pembenci
hdp,hidup
hrg,harga
hrga,harga
hdr,hadir
hit,terpopuler
hits,terkini
hoax,palsu
ig,instagram
idup,hidup
indo,indonesia
iow,dengan kata lain
ipon,iphone
ilmuan,ilmuwan
item,hitam
jos,mantap
joz,mantap
jd,jadi
jdi,jadi
jdnya,jadinya
jg,juga
jga,juga
jgan,jangan
jngn,jangan
jgn,jangan
jl,jalan
jln,jalan
jls,jelas
jutek,galak
k,ke
ko,kok
koq,kok
kamseupay,kampungan
karn,karena
krn,karena
karna,karena
krna,karena
kbr,kabar
kca,kaca
keknya,kayaknya
keles,kali
keleus,kali
kepo,penasaran
kgk,kagak
kicep,diam
kipak,bohong
kog,kok
kk,kakak
kl,kalau
klo,kalau
klu,kalau
kalo,kalau
kalok,kalau
klon,duplikat
klrg,keluarga
klu,kalau
km,kamu
kmn,kemana
kmrn,kemarin
kcil,kecil
kcl,kecil
kn,kan
knp,kenapa
knpa,kenapa
kongkow,kumpul-kumpul
kpd,kepada
kpn,kapan
krg,kurang
krng,kurang
krang,kurang
krn,karena
krm,kirim
krim,kirim
krna,karena
ktny,katanya
kumkeb,kumpul kebo
kyk,kayak
kagak,tidak
kyak,kayak
kzl,kesal
kwalitas,kualitas
lbh,lebih
lebay,berlebihan
lebeh,berlebihan
lelet,lambat
lg,lagi
lgs,langsung
liat,lihat
lnjut,lanjut
lo,kamu
lu,kamu
lw,kamu
loh,lho
lom,belum
lol,tertawa
love,cinta
lwt,lewat
maaci,terima kasih
mabok,mabuk
mager,malas gerak
maharani,mahal
maho,homoseksual
mainstream,sangat umum
males,malas
mcm,macam
mehong,mahal
meneketehe,tidak tahu
menel,centil
mgkn,mungkin
mimin,admin
minn,admin
mkn,makan
mksd,maksud
mksud,maksud
mksh,terima kasih
mlm,malam
mlm,malam
mls,malas
mmg,memang
modus,maksud lain
mrk,mereka
mrka,mereka
mreka,mereka
mayan,lumayan
muantap,mantap
mantaf,mantap
mantep,mantap
mntap,mantap
mantab,mantap
much,lebih
mure,murah
mw,mau
n,dan
naek,naik
nelpon,menelepon
nelfon,menelepon
ngeh,paham
ngeuh,paham
ndak,tidak
nggak,tidak
nggu,menunggu
ngliat,melihat
ngeliat,melihat
ngga,tidak
nga,tidak
ngk,tidak
nice,bagus
nmr,nomor
no,nomor
nongkrong,kumpul-kumpul
ntn,nonton
nntn,nonton
ntaps,mantap
ntap,mantap
mantul,mantap betul
nyampe,sampai
nyampek,sampai
nyungsep,jatuh
nyesal,menyesal
nyesel,menyesal
official,resmi
olh,oleh
or,atau
ori,asli
org,orang
ongkir,ongkos kirim
ok,oke
overal,secara keseluruhan
overall,secara keseluruhan
on hand, di tangan
olshop,toko online
pa,apa
pake,pakai
pke,pakai
pakek,pakai
palbis,paling bisa
pcr,pacar
pcran,pacaran
pd,pada
pdhal,padahal
peres,palsu
pg,pagi
pgg,pegang
php,pemberi harapan palsu
pk,pakai
paking,packing
keep,tetap
plg,pulang
pesen,pesan
pls,tolong
pnh,pernah
pntg,penting
pny,punya
pingin,ingin
pengen,ingin
pgn,ingin
prcya,percaya
pls,tolong
please,tolong
prnh,pernah
pst,pesat
psti,pasti
pcs,buah
rapih,rapi
recokin,ganggu
rempong,repot
ri,republik indonesia
rotfl,tertawa
rbu,ribu
rb,ribu
romo,promo
rocker,voucher
respons,respon
response,respon
recomen,direkomendasikan
recomended,direkomendasikan
recommended,direkomendasikan
rekomended,direkomendasikan
recommend,direkomendasikan
sabeb,bebas
schedule,jadwal
sdh,sudah
selow,santai
seller,penjual
sgt,sangat
sgtu,segitu
sgtuny,segitunya
sh,masih
sjjurny,sejujurnya
skali,sekali
skrg,sekarang
seneng,senang
slh,salah
sll,selalu
ssuai,sesuai
sm,sama
smg,semoga
smga,semoga
smoga,semoga
smw,semua
smp,sampai
smwnya,semuanya
stage,panggung
stj,setuju
stuju,setuju
sprt,seperti
sprti,seperti
sperti,seperti
sy,saya
sya,saya
syg,sayang
sampek,sampai
spek,spesifikasi
td,tadi
tdk,tidak
tpat,tepat
tpt,tepat
tengsin,malu
tebel,tebal
thn,tahun
tik,cantik
tkt,takut
tp,tapi
tpii,tapi
trs,terus
trus,terus
ttg,tentang
ttp,tetap
ttep,tetap
tetep,tetap
tlpon,telpon
tp,tapi
tw,tau
typo,salah tulis
trimakasih,terima kasih
trims,terima kasih
trim,terima
timbang,dibanding
tg,tempered glass
tks,thanks
tq,terima kasih
u,kamu
utk,untuk
unyu,menggemaskan
uda,sudah
udh,sudah
wa,whatsapp
walo,walau
walao,walau
with,dengan
woles,santai
wtf,apa-apaan
x,kali
y,ya
yak,ya
yg,yang
yng,yang
klesuruah,keseluruhan
cancel,dibatalkan
cansel,dibatalkan
smpai,sampai
for,untuk
hihihi,tertawa
hehehe,tertawa
hahaha,tertawa
wkwkwk,tertawa
ckckck,heran
kayak,seperti
birthday,ulang tahun
brithday,ulang tahun
thank,terima kasih
ati,hati
adin,adakan
aga,agak
merek,merk
ane,saya
bingitz,banget
godjob, good job
akirnya,akhirnya
tingi,tinggi
best,terbaik
delivery,pengiriman
vocher,voucher
vocer,voucher
atm,anjungan tunai mandiri
money,uang
adin,adain
hole,lubang
bas,bass
depak,depok
woto,bernilai
worth,bernilai
copot,lepas
kagak,tidak
cape,capek
cas,charge
error,rusak
quality,kualitas
mesan,memesan
terimakasih,terima kasih
notification,pemberitahuan
nyalain,nyalakan
packing,pengemasan
peking,pengemasan
paking,pengemasan
unique,unik
nyampe,sampai
si,sih
perfect,sempurna
size,ukuran
free,gratis
pict,gambar
picture,gambar
real,memang
moga,semoga
nyangka,menyangka
kirain,dikira
fake,palsu
kw,palsu
marketing,pemasaran
refund,pengembalian dana
komplain,keluhan
komplen,keluhan
kah,kasih
review,ulasan
digratisun,gratis
trusted,terpercaya
cip,sip
sep,sip
birthday,ulang tahun
original,asli
invite,undang
meeting,pertemuan
markotop,sekali
markusip,sekali
gandos,sekali
smartphone,telepon genggam cerdas
xpress,express
ekspress,express
black,hitam
blue,biru
very,sangat
not,tidak
on,tepat
time,waktu
good,bagus
bad,jelek
product,produk
carger,charger
awesome,luar biasa
amazing,luar biasa
kilatan,kelihatan
simple,sederhana
simpel,sederhana
poko,pokok
txs,terima kasih
order,pemesanan
performance,performa
service,pelayanan
you,kamu
worthed,bernilai
like,suka
choice,pilihan
top,teratas
tyas,terima kasih
rendy,siap
ready,siap
original,asli
orisinal,asli
orisinil,asli
job,pekerjaan
nunggu,menunggu
nungguin,menunggu
couple,pasangan
gadget,gawai
online,daring
via,lewat
invite,faktur
fans,penggemar
is,adalah
the,yang
ulangtahun,ulang tahun
radak,agak
rada,agak
now,sekarang
display,tampilan
gift,hadiah
min,admin
useful,berguna
powerful,bertenaga
power,tenaga
attitude,sikap
card,kartu
eror,error
high,tinggi
figur,fitur
accept,terima
account,akun
acceptable,dapat diterima
aceptable,dapat diterima
accesories,aksesoris
acesories,aksesoris
aksesori,aksesoris
acomplished,tercapai
accomplished,tercapai
afordable,terjangkau
affordable,terjangkau
verified,verifikasi
verikasi,verifikasi
voucer,voucher
walapun,walaupun
watching,menonton
waterproof,tahan air
wedding,pernikahan
world,dunia
plis,mohon
please,mohon
official,resmi
trprcaya,terpercaya
trobosan,terbosan
trlmbt,terlambat
transfers,transfer
thebest,terbaik
terbaique,terbaik
tangungjawab,tanggung jawab
trimaksi,terima kasih
trimkasi,terima kasih
slnjtnya,selanjutnya
kmarin,kemarin
kren,keren
napi,narapidana
entod,entot
ngentod,ngentot
ewek,ewe
babik,babi
kntl,kontol
kont0l,kontol
ngent0d,ngentot
kwontol,kontol
memeq,memek
sbg,sebagai
nyokap,ibu
bokap,bapak
kerna,karena
pedopil,pedofil
pedopilia,pedofil
pedofilia,pedofil
pedo,pedofil
statement,pernyataan
syahid,sahid
peribumi,pribumi
cinak,cina
yaqin,yakin
bbm,bahan bakar minyak
tapir,kafir
ngakaks,ngakak
caper,cari perhatian
njing,anjing
jing,anjing
jink,anjing
taik,tai
bencong,banci
ormas,organisasi masyarakat
sma,sama
jkw,jokowi
swt,subhanahuwataala 
sono,sana
ri,republik indonesia
nkri,negara kesatuan republik indonesia
opm,organisasi papua merdeka
fpi,front pembela islam
pks,partai keadilan sejahtera
hti,hizbut tahrir
gede,besar
nyante,nyantai
china,cina
hdp,hidup
hdup,hidup
bnuh,bunuh
slalu,selalu
triak,teriak
spt,seperti
sex,seks
djmin,dijamin
konthol,kontol
k0ntol,kontol
k0nt0l,kontol
kontoi,kontol
konthol,kontol
konth0l,kontol
k0nthol,kontol
kontoi,kontol
mekontol,kontol
khonthol,kontol
kontgol,kontol
kontoi,kontol
tytyd,titit
titit,titit
titid,titit
tytyt,titit
kontoinya,kontolnya
titek,tetek
tete,tetek
te2,tetek
thetek,tetek
tethek,tetek
bgst,bangsat
jembot,jembut
guoblok,goblog
memhek,memek
memhex,memek
m3ki,memek
meki,memek
puki,memek
kimak,memek
holol,tolol
njing,anjing
jing,anjing
ntot,ngentot
entot,ngentot
entiaw,ngentot
misqin,miskin
crot,ejakulasi
buangshat,bangsat
taik,tai
kyk,kayak
kyknya,kayaknya
bgitu,begitu
pda,pada
pd,pada
upload,unggah
download,unduh
donlot,unduh
aplot,unggah
jt,juta
eek,kotoran
curut,tikus
nebeng,numpang
ngana,kamu
bngt,banget
nyanyiin,menyanyikan
sexy,seksi
kbykn,kebanyakan
kbnykan,kebanyakan
ma,sama
ama,sama
skrang,sekarang
skrg,sekarang
skrng,sekarang
komen,berkomentar
like,suka
salfok,salah fokus
wuah,wah
woy,woi
follow,mengikuti
cariin,carikan
criin,carikan
drpda,daripada
drpd,daripada
dripda,daripada
share,bagikan
skill,kemampuan
salfok,salah fokus
boong,bohong
separo,separuh
nenen,tetek
update,perbarui
seleb,artis
sist,kakak perempuan
bro,kakak laki laki
trnyata,ternyata
trnyta,ternyata
body,badan
ngabisin,menghabiskan
nyebar,menyebarkan
ketangkep,tertangkap
tangkep,tangkap
ditangkep,ditangkap
kpk,komisi pemberantasan korupsi
respect,hormat
respek,hormat
kebangetan,keterlaluan
admin,administrator
belon,belum
belagu,sombong
pukinya,memeknya
pukimak,memeknya
cocot,bacot
aseng,asing
wahyudi,yahudi
pelem,film
true,benar
religion,agama
fuck,bangsat
lehuga,boleh juga
leh,boleh
ugha,juga
jilatin,menjilat
ban,dilarang
banned,dilarang
batabig,lempar bata
genocide,genosida
jesus,yesus
donk,dong
ni,ini
mentality,mentalitas
mintak,minta
ye,ya
taro,taruh
klau,kalau
cewe,cewek
cwek,cewek
pulak,pula
cwe,cewek
sy,saya
cwo,cowok
toket,tetek
koment,berkomentar
misquen,miskin
mn,mana
gra,gara
ngadain,mengadakan
ngatain,mencela
perangi,memerangi
fjb,forum jual beli
cok,jancuk
cuk,jancuk
thdp,terhadap
trhdp,terhadap
trhadap,terhadap
bhkn,bahkan
bhkan,bahkan
dki,daerah khusus ibukota
stlah,setelah
stelah,setelah
blg,bilang
blng,bilang
bnran,beneran
mrk,mereka
gaada,tidak ada
netijen,netizen
bnggakan,banggakan
x,kali
cian,kasian
tk,tidak
pap,kirim gambar
dm,pesan langsung
q,aku
apdet,pembaruan
delete,hapus
sosmed,sosial media
socmed,sosial media
abjat,abjad
akte,akta
aktip,aktif
aktifitas,aktivitas
amandemen,amendemen
handal,andal
analisa,analisis
antri,antre
azas,asas
apek,apak
apotik,apotek
aritmatika,aritmetika
atlit,atlet
atmosfir,atmosfer
cabe,cabai
cemilan,camilan
cendikia,cendekia
cinderamata,cenderamata
detil,detail
difinisi,definisi
diagnosa,diagnosis
hembus,embus
extra,ekstra
ekstrim,ekstrem
esei,esai
pebruari,februari
pondasi,fondasi
formil,formal
frase,frasa
frekwensi,frekuensi
gisi,gizi
hapal,hafal
hakekat,hakikat
hipotesa,hipotesis
hirarki,hierarki
ijasah,ijazah
ijin,izin
himbau,imbau
hisap,isap
isteri,istri
jadual,jadwal
jenasah,jenazah
jendral,jenderal
justeru,justru
kafeteria,kafetaria
kalendar,kalender
karir,karier
ketapel,katapel
katagori,kategori
kadaluwarsa,kedaluwarsa
kenderaan,kendaraan
komplit,komplet
konperensi,konferensi
konggres,kongres
kongkrit,konkret
kreatifitas,kreativitas
kwalifikasi,kualifikasi
kwalitatif,kualitatif
kwantitatif,kuantitatif
kwalitas,kualitas
kwitansi,kuitansi
lobang,lubang
mahluk,makhluk
menejemen,manajemen
mesjid,masjid
merk,merek
materai,meterai
meterei,meterai
metoda,metode
milyar,miliar
missi,misi
moderen,modern
mubadir,mubazir
mulya,mulia
pungkir,mungkir
nafas,napas
nara,narasumber
nasehat,nasihat
obyek,objek
obyektif,objektif
faham,paham
parlamen,parlemen
pasport,paspor
perduli,peduli
fikir,pikir
praktek,praktik
propinsi,provinsi
rebo,rabu
resiko,risiko
syah,sah
senggama,sanggama
sekedar,sekadar
sekular,sekuler
selular,seluler
semedi,semadi
central,sentral
seprei,seprai
silahkan,silakan
sirkular,sirkuler
sistim,sistem
seksama,saksama
subyek,subjek
subyektif,subjektif
sorga,surga
survai,survei
survey,survei
nampak,tampak
tauladan,teladan
tehnik,teknik
tehnologi,teknologi
terlanjur,telanjur
terlantar,telantar
trampil,terampil
villa,vila
waqaf,wakaf
ujud,wujud
yudikatip,yudikatif
rubah,ubah
jaman,zaman
alfa,alpa
bae,baik
bales,balas
belom,belum
capek,capai
dalem,dalam
dapet,dapat
disyahkan,disahkan
febuari,februari
ilang,hilang
iklas,ikhlas
inget,ingat
itikat,itikad
jumaat,jumat
karna,karena
kasir,kasier
kharisma,karisma
kapada,kepada
kerab,kerap
kaedah,kaidah
katulistiwa,khatulistiwa
kawatir,khawatir
konkrit,konkret
kwadrat,kuadrat
kwantum,kuantum
kuiz,kuis
lajim,lazim
lusin,losin
maap,maaf
macem,macam
males,malas
manpaat,manfaat
nomer,nomor
matere,materai
mengenyampingkan,mengesampingkan
merubah,mengubah
padet,padat
langganan,pelanggan
pinsil,pensil
pertanggungjawab,pertanggung jawaban
fihak,pihak
popular,populer
rapet,rapat
ampe,sampai
selese,selesai
kayak,seperti
action,aksi
anarkhi,anarki
anggauta,anggota
biosfir,biosfer
cepet,cepat
debet,debit
defaluasi,devaluasi
do'a,doa
diem,diam
daptar,daftar
dipersilahkan,dipersilakan
ekwivalen,ekuivalen
elit,elite
familiar,familier
glukosa,glucose
group,grup
genteng,genting
gubug,gubuk
hektar,hectare
hetrogen,heterogen
hipotik,hipotek
hirarkhi,hierarki
cuma,hanya
abis,habis
idiologi,ideologi
ihlas,ikhlas
interograsi,interogasi
interospeksi,introspeksi
intrupsi,interupsi
institute,institut
kalo,kalau
kwantitas,kuantitas
kwota,kuota
kridit,kredit
linier,linear
managemen,manajemen
missal,masal
missal,misal
massal,masal
menejer,manajer
monarkhi,monarki
moril,moral
netralisir,netralisasi
omset,omzet
pengreditan,pengkreditan
tekhnologi,teknologi
university,universitas
varitas,varietas
ada kalanya,adakalanya
apa bila,apabila
bagai mana,bagaimana
barang kali,barangkali
bila mana,bilamana
bea siswa,beasiswa
bela sungkawa,belasungkawa
bumi putra,bumiputra
dari pada,daripada
darma bakti,darmabakti
darma siswa,darmasiswa
duka cita,dukacita
hulu balang,hulubalang
kaca mata,kacamata
kasat mata,kasatmata
ke pada,kepada
kerata basa,keratabasa
kosa kata,kosakata
loka karya,lokakarya
mana kala,manakala
mana suka,manasuka
mangku bumi,mangkubumi
mara bahaya,marabahaya
mata hari,matahari
olah raga,olahraga
pada hal,padahal
parama sastra,paramasastra
puspa warna,puspawarna
radio aktif,radioaktif
sastra marga,sastramarga
sapu tangan,saputangan
sari pati,saripati
sebagai mana,sebagaimana
sedia kala,sediakala
segitiga,segi tiga
silatu rahmi,silaturahmi
suka cita,sukacita
suka rela,sukarela
suka ria,sukaria
syah bandar,syahbandar
titi mangsa,titimangsa
walikota,wali kota
eka bahasa,ekabahasa
dwi bahasa,dwibahasa
tri darma,tridarma
tri tunggal,tritunggal
catur warga,caturwarga
catur wulan,caturwulan
panca indra,pancaindra
panca sila,pancasila
sapta krida,saptakrida
sapta pesona,saptapesona
dasa titah,dasatitah
dasa warsa,dasawarsa
kilo gram,kilogram
mega watt,megawatt
tera bita,terabita
giga ohm,gigaohm
senti meter,sentimeter
mikro organisme,mikroorganisme
kilo meter,kilometer
a moral,amoral
a susila,asusila
antar negara,antarnegara
antar warga,antarwarga
ekstra kurikuler,ekstrakurikuler
kontra revolusi,kontrarevolusi
maha agung,mahaagung
mahapengasih1,maha pengasih
non blok,nonblok
non indonesia2,non-indonesia
peri laku,perilaku
perikeadilan1,peri keadilan
pasca panen,pascapanen
semi profesional,semiprofesional
sub bagian,subbagian
super sibuk,supersibuk
tuna karya,tunakarya
ultra modern,ultramodern
malpraktik,malapraktik
malfungsi,malafungsi
malserap,malaserap
maladaptasi,malaadaptasi
malsuai,malasuai
maldistribusi,maladistribusi
malgizi,malagizi
malsikap,malasikap
andai pun,andaipun
atau pun,ataupun
bagaimana pun,bagaimanapun
biar pun,biarpun
kalau pun,kalaupun
kendati pun,kendatipun
meski pun,meskipun
sungguh pun,sungguhpun
walau pun,walaupun
hindia-belanda,hindia belanda
asal-usul,asal usul
diantara,di antara
diakhir,di akhir
diatas,di atas
diawal,di awal
dibagian,di bagian
dibawah,di bawah
dibelakang,di belakang
didalam,di dalam
didekat,di dekat
didepan,di depan
dihadapan,di hadapan
dijalan,di jalan
dikanan,di kanan
dikiri,di kiri
diluar,di luar
dimana,di mana
dimuka,di muka
dipusat,di pusat
dirumah,di rumah
disamping,di samping
disaat,di saat
disana,di sana
disebelah,di sebelah
diseberang,di seberang
disekeliling,di sekeliling
disekitar,di sekitar
diseluruh,di seluruh
disini,di sini
disisi,di sisi
disitu,di situ
ditanah,di tanah
ditempat,di tempat
ditengah,di tengah
ditengah-tengah,di tengah-tengah
ditepi,di tepi
ditiap,di tiap
ditiap-tiap,di tiap-tiap
keatas,ke atas
kebawah,ke bawah
kebelakang,ke belakang
kedalam,ke dalam
kedepan,ke depan
kehadapan,ke hadapan
kekanan,ke kanan
kekiri,ke kiri
kemana,ke mana
kesana,ke sana
kesamping,ke samping
ketempat,ke tempat
aktuil,aktual
trotoir,trotoar
komersiil,komersial
komersil,komersial
tradisionil,tradisional
orisinil,orisinal
orijinil,orisinal
orijinal,orisinal
riil,real
afdol,afdal
cidera,cedera
dekrit2,dekret
disain,desain
diskripsi,deskripsi
diskotik,diskotek
eksim,eksem
exim,eksem
faidah,faedah
kongkret,konkret
musium,museum
pinalti,penalti
piranti,peranti
personil,personel
teoritis,teoretis
vidio,video
cengkeh,cengkih
desertasi,disertasi
intelejen,intelijen
kempes,kempis
ledeng,leding
retsleting,ritsleting
senen,senin
amuba,ameba
punggawa,penggawa
surban,serban
sorban,serban
agribisnis,agrobisnis
kantung,kantong
khutbah,khotbah
mandur,mandor
rubuh,roboh
pastur,pastor
supir,sopir
babon,babun
goncang,guncang
goa,gua
kaos,kaus
kokoh,kukuh
komulatif,kumulatif
kolomnis,kolumnis
korma,kurma
limo,limusin
limosin,limusin
mangkok,mangkuk
saos,saus
sop,sup
tegor,tegur
telor,telur
obrak-abrik,ubrak-abrik
konsekwensi,konsekuensi
kwadran,kuadran
kwalitet,kualitas
kwartal,kuartal
kwintal,kuintal
kwatir,khawatir
kuatir,khawatir
aktiv,aktif
efektip,efektif
epektip,epektif
pisik,fisik
photo,foto
photokopi,fotokopi
insap,insaf
insyaf,insaf
kreatip,kreatif
kreativ,kreatif
napsu,nafsu
negatip,negatif
negativ,negatif
pasip,pasif
pasiv,pasif
positip,positif
positiv,positif
produktip,produktif
produktiv,produktif
sarap,saraf
sertipikat,sertifikat
tarip,tarif
transitip,transitif
transitiv,transitif
telefon,telepon
telfon,telepon
telpon,telepon
tilpon,telepon
vermak,permak
vulpen,pulpen
aktifis,aktivis
konfeksi,konveksi
motifasi,motivasi
nopember,november
babtis,baptis
jerembab,jerembap
lembab,lembap
sembab,sembap
saptu,sabtu
tekat,tekad
bejad,bejat
nekad,nekat
otoped,otopet
skuad,skuat
jenius,genius
marjin,margin
marjinal,marginal
projek,proyek
plasa,plaza
bathin,batin
katholik,katolik
orthografi,ortografi
pathogen,patogen
theologi,teologi
rejeki,rezeki
rizki,rezeki
riski,rezeki
rizqi,rezeki
rejim,rezim
jamrud,zamrud
anugrah,anugerah
cendrawasih,cenderawasih
indra,indera
kripik,keripik
krupuk,kerupuk
ksatria,kesatria
satria,kesatria
mentri,menteri
negri,negeri
prancis,perancis
sebrang,seberang
menyebrang,menyeberang
sumatra,sumatera
perajurit,prajurit
putera,putra
puteri,putri
samudera,samudra
sastera,sastra
sutera,sutra
terompet,trompet
iktisar,ikhtisar
kotbah,khotbah
kusyuk,khusyuk
makluk,makhluk
mahkluk,makhluk
nahkoda,nakhoda
nakoda,nakhoda
tahta,takhta
takhyul,takhayul
tahyul,takhayul
tahayul,takhayul
akhli,ahli
rakhmat,rahmat
tekhnik,teknik
ikhwal,ihwal
sex,seks
taxi,taksi
extasi,ekstasi
expor,ekspor
syaraf,saraf
syurga,surga
mashur,masyhur
masyur,masyhur
mahsyur,masyhur
mashyur,masyhur
muadzin,muazin
adzan,azan
ustadz,ustaz
ustad,ustaz
ustadzah,ustazah
dzikir,zikir
dzuhur,zuhur
dhuhur,zuhur
zhuhur,zuhur
sintesa,sintesis
efektifitas,efektivitas
komuniti,komunitas
produktifitas,produktivitas
realiti,realitas
realita,realitas
selebriti,selebritas
sportifitas,sportivitas
universiti,universitas
utiliti,utilitas
validiti,validitas
dilokalisir,dilokalisasi
didramatisir,didramatisasi
dipolitisir,dipolitisasi
dinetralisir,dinetralisasi
dikonfrontir,dikonfrontasi
mendominir,mendominasi
koordinir,koordinasi
proklamir,proklamasi
terorganisir,terorganisasi
terealisir,terealisasi
menyintai,mencintai
menyolok,mencolok
contek,sontek
mencontek,menyontek
aksesoris,aksesori
hantar,antar
panutan,anutan
atsiri,asiri
bhakti,bakti
china,cina
dharma,darma
diktaktor,diktator
eksport,ekspor
hadits,hadis
hadist,hadis
harafiah,harfiah
import,impor
interprestasi,interpretasi
kangker,kanker
lansekap,lanskap
maghrib,magrib
ramadhan,ramadan
rapih,rapi
sansekerta,sanskerta
sri langka,sri lanka
shalat,salat
sholat,salat
solat,salat
standard,standar
standarisasi,standardisasi
hutang,utang
zinah,zina
jum'at,jumat
la'nat,laknat
ma'af,maaf
mu'jizat,mukjizat
mujizat,mukjizat
mujijat,mukjizat
ni'mat,nikmat
raka'at,rakaat
ta'at,taat
amphibi,amfibi
anjlog,anjlok
alpukat,avokad
alpokat,avokad
bolpen,pulpen
cabay,cabai
ceret,cerek
differensial,diferensial
duren,durian
faksimili,faksimile
faksimil,faksimile
graha,gerha
goblog,goblok
gombrong,gombroh
horden,gorden
korden,gorden
imaginasi,imajinasi
jerigen,jeriken
jirigen,jeriken
carut-marut,karut-marut
mahzab,mazhab
mempesona,memesona
nenas,nanas
negoisasi,negosiasi
automotif,otomotif
pararel,paralel
paska,pasca
prosen,persen
petay,petai
proffesor,profesor
rame,ramai
rapot,rapor
rileks,relaks
rileksasi,relaksasi
renumerasi,remunerasi
seketaris,sekretaris
sekertaris,sekretaris
sensorik,sensoris
sentausa,sentosa
strawberi,stroberi
strawbery,stroberi
strawberry,stroberi
taqwa,takwa
tauco,taoco
tauge,taoge
toge,taoge
taubat,tobat
trilyun,triliun
vissi,visi
